name,code
3S,60310
APS홀딩스,54620
AP시스템,265520
AP위성,211270
CJ ENM,35760
CJ프레시웨이,51500
CMG제약,58820
CNH,23460
CS,65770
CSA 코스믹,83660
DB금융스팩6호,306620
DMS,68790
DSC인베스트먼트,241520
EDGC,245620
EG,37370
EMW,79190
GH신소재,130500
GMR 머티리얼즈,32860
GRT,900290
GST,83450
GS홈쇼핑,28150
GV,45890
HB테크놀러지,78150
HRS,36640
IBKS제10호스팩,299170
IBKS제5호스팩,254120
IBKS제6호스팩,264850
IBKS제7호스팩,276920
IBKS제9호스팩,297570
ISC,95340
ITX엠투엠,99520
JTC,950170
JW신약,67290
JYP Ent.,35900
KBI메탈,24840
KB오토시스,24120
KCC건설,21320
KCI,36670
KD건설,44180
KG ETS,151860
KG모빌리언스,46440
KG이니시스,35600
KH바텍,60720
KJ프리텍,83470
KMH,122450
KMH하이텍,52900
KNN,58400
KPX생명과학,114450
KTH,36030
KT서브마린,60370
MP그룹,65150
MP한강,219550
NEW,160550
NE능률,53290
NHN벅스,104200
NHN한국사이버결제,60250
NICE평가정보,30190
PN풍년,24940
RFHIC,218410
S&K폴리텍,91340
SBI인베스트먼트,19550
SBI핀테크솔루션즈,950110
SBS콘텐츠허브,46140
SCI평가정보,36120
SDN,99220
SFA반도체,36540
SG,255220
SG&G,40610
SGA,49470
SGA솔루션즈,184230
SK3호스팩,232330
SK4호스팩,307070
SKC 솔믹스,57500
SKC코오롱PI,178920
SK머티리얼즈,36490
SK바이오랜드,52260
SM C&C,48550
SM Life Design,63440
SV인베스트먼트,289080
THE E&M,89230
THE MIDONG,161570
TJ미디어,32540
TPC,48770
TS인베스트먼트,246690
UCI,38340
WI,73570
W홀딩컴퍼니,52300
YTN,40300
YW,51390
iMBC,52220
가비아,79940
가온미디어,78890
감마누,192410
강스템바이오텍,217730
갤럭시아컴즈,94480
게임빌,63080
경남스틸,39240
경남제약,53950
경동제약,11040
경창산업,24910
고려시멘트,198440
고려신용정보,49720
고려제약,14570
고영,98460
골드퍼시픽,38530
골든브릿지이안5호,307870
골든센츄리,900280
골프존,215000
골프존뉴딘홀딩스,121440
광림,14200
광진실업,26910
광진윈텍,90150
교보7호스팩,267320
교보8호스팩,307280
구영테크,53270
국보디자인,66620
국순당,43650
국영지앤엠,6050
국일신동,60480
국일제지,78130
그랜드백화점,19010
글로벌에스엠,900070
글로벌텍스프리,204620
글로본,19660
금강철강,53260
금화피에스시,36190
기가레인,49080
기산텔레콤,35460
나노,187790
나노스,151910
나노신소재,121600
나노엔텍,39860
나노캠텍,91970
나라엠앤디,51490
나무가,190510
나무기술,242040
나스미디어,89600
나우아이비캐피탈,293580
나이벡,138610
나이스디앤비,130580
나이스정보통신,36800
남화산업,111710
남화토건,91590
내츄럴엔도텍,168330
네오디안테크놀로지,72770
네오셈,253590
네오오토,212560
네오위즈,95660
네오위즈홀딩스,42420
네오티스,85910
네오팜,92730
네오펙트,290660
네이블커뮤니케이션즈,153460
네이처셀,7390
네패스,33640
네패스신소재,87730
넥스턴,89140
넥스트BT,65170
넥스트리밍,139670
넥스트아이,137940
넥슨지티,41140
넵튠,217270
넷게임즈,225570
노랑풍선,104620
노바렉스,194700
노바텍,285490
녹십자랩셀,144510
녹십자셀,31390
녹십자엠에스,142280
녹원씨엔아이,65560
농우바이오,54050
누리텔레콤,40160
누리플랜,69140
뉴로스,126870
뉴보텍,60260
뉴인텍,12340
뉴지랩,214870
뉴트리,270870
뉴파워프라즈마,144960
뉴프라이드,900100
뉴프렉스,85670
다나와,119860
다날,64260
다믈멀티미디어,93640
다산네트웍스,39560
다우데이타,32190
다원시스,68240
대동금속,20400
대동기어,8830
대동스틸,48470
대륙제관,4780
대림제지,17650
대명코퍼레이션,7720
대보마그네틱,290670
대봉엘에스,78140
대성미생물,36480
대성엘텍,25440
대성창투,27830
대성파인텍,104040
대신밸런스제4호스팩,262830
대신밸런스제5호스팩,303030
대신밸런스제6호스팩,307750
대신정보통신,20180
대아티아이,45390
대양전기공업,108380
대양제지,6580
대원,7680
대원미디어,48910
대원산업,5710
대유,290380
대유에이피,290120
대유위니아,71460
대정화금,120240
대주산업,3310
대주전자재료,78600
대진디엠피,65690
대창솔루션,96350
대창스틸,140520
대한과학,131220
대한광통신,10170
대한뉴팜,54670
대한약품,23910
대호피앤씨,21040
대화제약,67080
더블유에프엠,35290
덕산네오룩스,213420
덕산하이메탈,77360
덕신하우징,90410
덕우전자,263600
데브시스터즈,194480
데이타솔루션,263800
데일리블록체인,139050
데코앤이,17680
덱스터,206560
도이치모터스,67990
동구바이오제약,6620
동국S&C,100130
동국산업,5160
동국알앤에스,75970
동국제약,86450
동방선기,99410
동부스팩5호,281740
동성화인텍,33500
동신건설,25950
동아엘텍,88130
동아화성,41930
동양에스텍,60380
동양이엔피,79960
동양파일,228340
동양피엔에프,104460
동우팜투테이블,88910
동운아나텍,94170
동원개발,13120
동일금속,109860
동일기연,32960
동일철강,23790
동진쎄미켐,5290
동화기업,25900
두올산업,78590
듀오백,73190
드래곤플라이,30350
드림시큐리티,203650
드림어스컴퍼니,60570
디딤,217620
디바이스이엔지,187870
디스플레이텍,66670
디아이티,110990
디알젬,263690
디알텍,214680
디앤씨미디어,263720
디에스케이,109740
디에스티,33430
디에스티로봇,90710
디에이치피코리아,131030
디에이테크놀로지,196490
디에이피,66900
디엔에이링크,127120
디엔에프,92070
디엠씨,101000
디엠티,134580
디오,39840
디이엔티,79810
디자인,227100
디젠스,113810
디지아이,43360
디지캡,197140
디지탈옵틱,106520
디지털대성,68930
디지틀조선,33130
디케이디앤아이,33310
디케이락,105740
디케이앤디,263020
디케이티,290550
디티앤씨,187220
딜리,131180
라온시큐어,42510
라이브플렉스,50120
라이온켐텍,171120
라이트론,69540
램테크놀러지,171010
랩지노믹스,84650
러셀,217500
럭슬,33600
레고켐바이오,141080
레드로버,60300
레드캡투어,38390
레이언스,228850
로고스바이오,238120
로보로보,215100
로보스타,90360
로보티즈,108490
로스웰,900260
로지시스,67730
로체시스템즈,71280
루멘스,38060
루미마이크로,82800
루트로닉,85370
룽투코리아,60240
리노공업,58470
리노스,39980
리더스코스메틱,16100
리드,197210
리드코프,12700
리켐,131100
린드먼아시아,277070
링네트,42500
링크제니시스,219420
마이크로컨텍솔,98120
마이크로텍,227950
마이크로프랜드,147760
마제스타,35480
마크로젠,38290
매일유업,267980
매일홀딩스,5990
매직마이크로,127160
매커스,93520
맥스로텍,141070
머큐리,100590
멀티캠퍼스,67280
메가스터디,72870
메가스터디교육,215200
메가엠디,133750
메디아나,41920
메디톡스,86900
메디포스트,78160
메디프론,65650
메이슨캐피탈,21880
메지온,140410
메카로,241770
메타바이오메드,59210
멕아이씨에스,58110
멜파스,96640
명성티엔에스,257370
모다,149940
모다이노칩,80420
모두투어,80160
모바일리더,100030
모바일어플라이언스,87260
모베이스,101330
모비스,250060
모아텍,33200
모트렉스,118990
모헨즈,6920
무림SP,1810
미래SCI,28040
미래나노텍,95500
미래생명자원,218150
미래에셋대우스팩1호,265480
미래에셋대우스팩2호,310200
미래에셋벤처투자,100790
미래에셋제5호스팩,239340
미래컴퍼니,49950
미래테크놀로지,213090
미스터블루,207760
미코,59090
미투온,201490
민앤지,214180
바디텍메드,206640
바른손,18700
바른손이앤에이,35620
바른전자,64520
바른테크놀로지,29480
바이넥스,53030
바이로메드,84990
바이오니아,64550
바이오로그디바이스,208710
바이오리더스,142760
바이오빌,65940
바이오솔루션,86820
바이오스마트,38460
바이오제네틱스,44480
바이오톡스텍,86040
바이온,32980
바텍,43150
배럴,267790
백금T&A,46310
버추얼텍,36620
버킷스튜디오,66410
베셀,177350
베스파,299910
보광산업,225530
보라티알,250000
보령메디앙스,14100
보성파워텍,6910
본느,226340
부방,14470
부스타,8470
뷰웍스,100120
브레인콘텐츠,66980
브리지텍,64480
브이원텍,251630
블루콤,33560
비덴트,121800
비디아이,148140
비씨월드제약,200780
비아트론,141000
비에이치,90460
비에이치아이,83650
비엠티,86670
비즈니스온,138580
비츠로셀,82920
비츠로시스,54220
비츠로테크,42370
비트컴퓨터,32850
비피도,238200
빅솔론,93190
빅텍,65450
빛샘전자,72950
사람인에이치알,143240
삼강엠앤티,100090
삼기오토모티브,122350
삼륭물산,14970
삼목에스폼,18310
삼보모터스,53700
삼보산업,9620
삼보판지,23600
삼본정밀전자,111870
삼성머스트스팩3호,309930
삼성스팩2호,291230
삼아제약,9300
삼양옵틱스,225190
삼영엠텍,54540
삼영이엔씨,65570
삼우엠스,82660
삼원테크,73640
삼일,32280
삼일기업공사,2290
삼지전자,37460
삼진,32750
삼진엘앤디,54090
삼천당제약,250
삼천리자전거,24950
