name,code
AJ네트웍스,95570
AJ렌터카,68400
AK홀딩스,6840
BGF,27410
BGF리테일,282330
BNK금융지주,138930
BYC,1460
CJ,1040
CJ CGV,79160
CJ대한통운,120
CJ씨푸드,11150
CJ제일제당,97950
CJ헬로,37560
CS홀딩스,590
DB,12030
DB금융투자,16610
DB손해보험,5830
DB하이텍,990
DGB금융지주,139130
DRB동일,4840
DSR,155660
DSR제강,69730
E1,17940
F&F,7700
GKL,114090
GS,78930
GS건설,6360
GS글로벌,1250
GS리테일,7070
HDC,12630
HDC아이콘트롤스,39570
HDC현대EP,89470
HDC현대산업개발,294870
HSD엔진,82740
JB금융지주,175330
JW생명과학,234080
JW중외제약,1060
JW홀딩스,96760
KB금융,105560
KC그린홀딩스,9440
KC코트렐,119650
KEC,92220
KG케미칼,1390
KISCO홀딩스,1940
KPX케미칼,25000
KPX홀딩스,92230
KR모터스,40
KSS해운,44450
KTB투자증권,30210
KTcs,58850
KTis,58860
LF,93050
LG,3550
LG디스플레이,34220
LG상사,1120
LG생활건강,51900
LG유플러스,32640
LG이노텍,11070
LG전자,66570
LG하우시스,108670
LG화학,51910
LIG넥스원,79550
LS,6260
LS네트웍스,680
LS산전,10120
LS전선아시아,229640
MH에탄올,23150
NAVER,35420
NH투자증권,5940
NICE,34310
NI스틸,8260
OCI,10060
S&TC,100840
S&T모티브,64960
S&T중공업,3570
S&T홀딩스,36530
S-Oil,10950
SBS,34120
SBS미디어홀딩스,101060
SG세계물산,4060
SG충방,1380
SH에너지화학,2360
SIMPAC,9160
SK,34730
SKC,11790
SK가스,18670
SK네트웍스,1740
SK디스커버리,6120
SK디앤디,210980
SK이노베이션,96770
SK증권,1510
SK케미칼,285130
SK텔레콤,17670
SK하이닉스,660
SPC삼립,5610
STX,11810
STX엔진,77970
STX중공업,71970
TCC동양,2710
WISCOM,24070
YG PLUS,37270
가온전선,500
강남제비스코,860
강원랜드,35250
갤럭시아에스엠,11420
경농,2100
경동나비엔,9450
경동도시가스,267290
경동인베스트,12320
경방,50
경보제약,214390
경인양행,12610
경인전자,9140
계룡건설산업,13580
계양전기,12200
고려개발,4200
고려산업,2140
고려아연,10130
고려제강,2240
광동제약,9290
광명전기,17040
광전자,17900
광주신세계,37710
교보증권,30610
국도화학,7690
국동,5320
국보,1140
국제약품,2720
그린케미칼,83420
극동유화,14530
금강공업,14280
금비,8870
금양,1570
금호산업,2990
금호석유화학,11780
금호에이치티,214330
금호전기,1210
금호타이어,73240
기신정기,92440
기아자동차,270
기업은행,24110
까뮤이앤씨,13700
깨끗한나라,4540
나노메딕스,74610
남광토건,1260
남선알미늄,8350
남성,4270
남양유업,3920
남영비비안,2070
남해화학,25860
넥센,5720
넥센타이어,2350
넥스트사이언스,3580
넷마블,251270
노루페인트,90350
노루홀딩스,320
녹십자,6280
녹십자홀딩스,5250
농심,4370
농심홀딩스,72710
다스코,58730
다우기술,23590
대교,19680
대구백화점,6370
대덕전자,8060
대동공업,490
대동전자,8110
대림비앤코,5750
대림산업,210
대림씨엔에스,4440
대림통상,6570
대상,1680
대상홀딩스,84690
대성산업,128820
대성에너지,117580
대성홀딩스,16710
대신증권,3540
대양금속,9190
대영포장,14160
대우건설,47040
대우부품,9320
대우조선해양,42660
대웅,3090
대웅제약,69620
대원강업,430
대원전선,6340
대원제약,3220
대원화성,24890
대유에이텍,2880
대유플러스,300
대창,12800
대창단조,15230
대한방직,1070
대한유화,6650
대한전선,1440
대한제강,84010
대한제당,1790
대한제분,1130
대한항공,3490
대한해운,5880
대한화섬,3830
대현,16090
대호에이엘,69460
더블유게임즈,192080
더존비즈온,12510
덕성,4830
덕양산업,24900
덴티움,145720
도화엔지니어링,2150
동국실업,1620
동국제강,1230
동남합성,23450
동방,4140
동방아그로,7590
동부건설,5960
동부제철,16380
동북아12호선박투자,83370
동북아13호선박투자,83380
동서,26960
동성제약,2210
동성코퍼레이션,102260
동성화학,5190
동아쏘시오홀딩스,640
동아에스티,170900
동아지질,28100
동아타이어,282690
동양,1520
동양고속,84670
동양네트웍스,30790
동양물산기업,2900
동양생명,82640
동양철관,8970
동양피스톤,92780
동원F&B,49770
동원금속,18500
동원산업,6040
동원수산,30720
동원시스템즈,14820
동일고무벨트,163560
동일방직,1530
동일산업,4890
동일제강,2690
동화약품,20
두산,150
두산건설,11160
두산밥캣,241560
두산인프라코어,42670
두산중공업,34020
두올,16740
드림텍,192650
디씨엠,24090
